Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
218422236,Moral Ambition: Stop Wasting Your Talent and Start Making a Difference,Rutger Bregman,"Bregman, Rutger",,"=""0316580376""","=""9780316580373""",4,3.76,"Little, Brown and Company",Kindle Edition,251,2025,2024,2025/08/29,2025/08/21,,,read,Inspiring.<br/><br/>The author starts of intense. Parts can make one angry. In the end eases up not to let me off the hook but to give me hope that even a morally ambitious person can live a “well rounded” life.<br/><br/>Angela Duckworth wrote a book is like a conversation. This book is the sort of conversations I want to be part of.,,,1,0
58733693,Remarkably Bright Creatures,Shelby Van Pelt,"Pelt, Shelby Van",,"=""0063204150""","=""9780063204157""",4,4.36,Ecco,ebook,302,2022,2022,,2025/08/22,,,read,"Easy to read, touching story, lovely characters and a moderately surprising twist.<br/><br/>The author did a good job of incorporating an odd narrator.",,,2,0
195608683,"The Demon of Unrest: A Saga of Hubris, Heartbreak, and Heroism at the Dawn of the Civil War",Erik Larson,"Larson, Erik",,"=""0385348746""","=""9780385348744""",0,4.17,Crown,Hardcover,592,2024,2024,,2025/08/21,to-read,to-read (#52),to-read,,,,0,0
50269327,Earthlings,Sayaka Murata,"Murata, Sayaka",Ginny Tapley Takemori,"=""1783785675""","=""9781783785674""",0,3.60,Granta Books,Hardcover,247,2020,2018,,2025/08/10,to-read,to-read (#51),to-read,,,,0,0
40514364,"Children of Time (Children of Time, #1)",Adrian Tchaikovsky,"Tchaikovsky, Adrian",,"=""0316452491""","=""""",3,4.30,Orbit,Kindle Edition,588,2018,2015,2025/08/07,2023/09/24,,,read,,,,1,0
60333769,The Upside of Uncertainty: A Guide to Finding Possibility in the Unknown,Nathan Furr,"Furr, Nathan",Susannah Harmon Furr,"=""1647823021""","=""9781647823023""",0,3.78,Harvard Business Review Press,Kindle Edition,320,2022,2022,,2025/07/12,to-read,to-read (#50),to-read,,,,0,0
231914078,Flowers For Algernon,Daniel Keyes,"Keyes, Daniel",,"=""""","=""""",4,4.60,,Kindle Edition,264,2025,,2025/06/15,2025/06/15,,,read,,,,1,0
256008,"Lonesome Dove (Lonesome Dove, #1)",Larry McMurtry,"McMurtry, Larry",,"=""067168390X""","=""9780671683900""",0,4.58,Pocket Books,Mass Market Paperback,960,1999,1985,,2025/05/07,to-read,to-read (#49),to-read,,,,0,0
6553843,Hard Rain Falling,Don Carpenter,"Carpenter, Don",George P. Pelecanos,"=""1590173244""","=""9781590173244""",0,4.08,NYRB Classics,Paperback,308,2009,1966,,2025/05/07,to-read,to-read (#48),to-read,,,,0,0
10644930,11/22/63,Stephen  King,"King, Stephen",,"=""1451627289""","=""9781451627282""",0,4.35,Scribner,Hardcover,849,2011,2011,,2025/05/06,to-read,to-read (#47),to-read,,,,0,0
